[06/04/25 10:48:41] [INFO] received Windows console close event; shutting log-core down
[06/04/25 11:32:48] [INFO] received Windows console close event; shutting log-core down
[06/04/25 11:34:41] [INFO] received Windows console close event; shutting log-core down
[06/04/25 12:05:03] [INFO] received Windows console close event; shutting log-core down
[06/04/25 12:48:49] [INFO] received Windows console close event; shutting log-core down
[06/04/25 14:17:38] [INFO] received Windows console close event; shutting log-core down
[06/04/25 14:39:46] [INFO] received Windows console close event; shutting log-core down
[06/04/25 14:53:28] [INFO] received Windows console close event; shutting log-core down
[06/04/25 15:01:54] [INFO] received Windows console close event; shutting log-core down
[06/04/25 15:33:52] [INFO] received Windows console close event; shutting log-core down
[06/04/25 16:05:45] [INFO] received Windows console close event; shutting log-core down
[06/04/25 16:32:13] [INFO] received Windows console close event; shutting log-core down
[06/04/25 16:35:53] [INFO] received Windows console close event; shutting log-core down
[06/04/25 16:43:43] [INFO] received Windows console close event; shutting log-core down
[06/04/25 17:07:33] [INFO] received Windows console close event; shutting log-core down
[06/05/25 16:07:37] [INFO] received Windows console close event; shutting log-core down
[06/05/25 17:21:55] [INFO] received Windows console close event; shutting log-core down
[06/06/25 06:02:35] [INFO] received Windows console close event; shutting log-core down
[06/06/25 06:23:04] [INFO] received Windows console close event; shutting log-core down
[06/06/25 06:32:13] [INFO] received Windows console close event; shutting log-core down
[06/06/25 06:37:51] [INFO] received Windows console close event; shutting log-core down
[06/06/25 06:46:00] [INFO] received Windows console close event; shutting log-core down
[06/06/25 06:50:09] [INFO] received Windows console close event; shutting log-core down
[06/06/25 08:47:57] [INFO] received Windows console close event; shutting log-core down
[06/06/25 09:31:15] [INFO] received Windows console close event; shutting log-core down
[06/06/25 09:36:55] [INFO] received Windows console close event; shutting log-core down
[06/06/25 10:00:28] [INFO] received Windows console close event; shutting log-core down
[06/06/25 10:08:34] [INFO] received Windows console close event; shutting log-core down
[06/06/25 10:12:28] [INFO] received Windows console close event; shutting log-core down
[06/06/25 10:32:40] [INFO] received Windows console close event; shutting log-core down
[07/14/25 17:17:10] [INFO] received Windows console close event; shutting log-core down
[07/14/25 17:17:24] [INFO] received Windows console close event; shutting log-core down
[07/14/25 17:17:36] [INFO] received Windows console close event; shutting log-core down
[07/14/25 17:22:54] [INFO] received Windows console close event; shutting log-core down
[07/14/25 17:57:32] [INFO] received Windows console close event; shutting log-core down
[07/14/25 17:59:26] [INFO] received Windows console close event; shutting log-core down
[07/14/25 22:15:51] [INFO] received Windows console close event; shutting log-core down
[07/14/25 22:40:38] [INFO] received Windows console close event; shutting log-core down
[07/29/25 14:32:00] [INFO] received Windows console close event; shutting log-core down
[07/29/25 14:51:13] [INFO] received Windows console close event; shutting log-core down
[07/29/25 14:52:03] [INFO] received Windows console close event; shutting log-core down
[07/29/25 15:05:15] [INFO] received Windows console close event; shutting log-core down
